UID          PID    PPID  C STIME TTY          TIME CMD
root         201       2  0 May27 ?        00:00:00 [watchdogd]
root         203       2  0 May27 ?        00:02:08 [kworker/1:1H-kblockd]
root         205       2  0 May27 ?        00:00:00 [kswapd0]
root         212       2  0 May27 ?        00:00:00 [kthrotld]
root         218       2  0 May27 ?        00:00:00 [acpi_thermal_pm]
root         219       2  0 May27 ?        00:00:00 [kmpath_rdacd]
root         220       2  0 May27 ?        00:00:00 [kaluad]
root         222       2  0 May27 ?        00:00:00 [mld]
root         223       2  0 May27 ?        00:02:27 [kworker/20:1H-kblockd]
root         224       2  0 May27 ?        00:00:00 [ipv6_addrconf]
root         234       2  0 May27 ?        00:00:00 [kstrp]
root         253       2  0 May27 ?        00:00:00 [zswap-shrink]
root         254       2  0 May27 ?        00:00:00 [kworker/u49:0]
root         367       2  0 May27 ?        00:02:10 [kworker/16:1H-kblockd]
root         407       2  0 May27 ?        00:02:05 [kworker/3:1H-kblockd]
root         409       2  0 May27 ?        00:02:03 [kworker/9:1H-kblockd]
root         411       2  0 May27 ?        00:02:13 [kworker/5:1H-kblockd]
root         413       2  0 May27 ?        00:02:21 [kworker/17:1H-kblockd]
root         418       2  0 May27 ?        00:02:20 [kworker/18:1H-kblockd]
root         419       2  0 May27 ?        00:02:13 [kworker/19:1H-kblockd]
root         420       2  0 May27 ?        00:02:06 [kworker/10:1H-kblockd]
root         429       2  0 May27 ?        00:01:58 [kworker/12:1H-kblockd]
root         438       2  0 May27 ?        00:02:06 [kworker/2:1H-kblockd]
root         517       2  0 May27 ?        00:02:01 [kworker/14:1H-kblockd]
root         518       2  0 May27 ?        00:01:55 [kworker/11:1H-kblockd]
root         538       2  0 May27 ?        00:01:58 [kworker/0:1H-kblockd]
root         539       2  0 May27 ?        00:02:17 [kworker/7:1H-kblockd]
root         541       2  0 May27 ?        00:02:21 [kworker/21:1H-kblockd]
root         542       2  0 May27 ?        00:02:16 [kworker/22:1H-kblockd]
root         544       2  0 May27 ?        00:01:59 [kworker/13:1H-kblockd]
root         547       2  0 May27 ?        00:02:15 [kworker/4:1H-kblockd]
root         548       2  0 May27 ?        00:02:14 [kworker/6:1H-kblockd]
root         585       2  0 May27 ?        00:02:17 [kworker/23:1H-kblockd]
root         586       2  0 May27 ?        00:02:04 [kworker/8:1H-kblockd]
root         587       2  0 May27 ?        00:01:58 [kworker/15:1H-kblockd]
root         620       2  0 May27 ?        00:00:00 [ata_sff]
root         621       2  0 May27 ?        00:00:00 [scsi_eh_0]
root         622       2  0 May27 ?        00:00:00 [scsi_tmf_0]
root         625       2  0 May27 ?        00:00:00 [scsi_eh_1]
root         626       2  0 May27 ?        00:00:00 [scsi_tmf_1]
root         627       2  0 May27 ?        00:00:00 [scsi_eh_2]
root         628       2  0 May27 ?        00:00:00 [scsi_tmf_2]
root         671       2  0 May27 ?        01:49:43 [jbd2/sda3-8]
root         672       2  0 May27 ?        00:00:01 [ext4-rsv-conver]
root         733       1  0 May27 ?        00:53:40 /usr/lib/systemd/systemd-journald
root         752       1  0 May27 ?        00:00:16 /usr/lib/systemd/systemd-udevd
root         841       2  0 May27 ?        00:00:00 [jbd2/sda2-8]
root         842       2  0 May27 ?        00:00:00 [ext4-rsv-conver]
root         896       2  0 May27 ?        00:00:00 [ttm]
root         901       1  0 May27 ?        00:01:06 /sbin/auditd
dbus         929       1  0 May27 ?        00:00:01 /usr/bin/dbus-broker-launch --scope system --audit
